Date,Close,Symbol,Shortname
2010-01-04,15.610239028930664,GOOG,Alphabet Inc.
2010-01-05,15.541497230529785,GOOG,Alphabet Inc.
2010-01-06,15.149715423583984,GOOG,Alphabet Inc.
2010-01-07,14.797037124633789,GOOG,Alphabet Inc.
2010-01-08,14.994297981262207,GOOG,Alphabet Inc.
2010-01-11,14.971632957458496,GOOG,Alphabet Inc.
2010-01-12,14.70687484741211,GOOG,Alphabet Inc.
2010-01-13,14.622441291809082,GOOG,Alphabet Inc.
2010-01-14,14.691184043884277,GOOG,Alphabet Inc.
2010-01-15,14.445853233337402,GOOG,Alphabet Inc.
2010-01-19,14.635642051696777,GOOG,Alphabet Inc.
2010-01-20,14.45606517791748,GOOG,Alphabet Inc.
2010-01-21,14.520074844360352,GOOG,Alphabet Inc.
2010-01-22,13.69890308380127,GOOG,Alphabet Inc.
2010-01-25,13.44958782196045,GOOG,Alphabet Inc.
2010-01-26,13.509861946105957,GOOG,Alphabet Inc.
2010-01-27,13.50189208984375,GOOG,Alphabet Inc.
2010-01-28,13.307371139526367,GOOG,Alphabet Inc.
2010-01-29,13.199027061462402,GOOG,Alphabet Inc.
2010-02-01,13.275738716125488,GOOG,Alphabet Inc.
2010-02-02,13.22841739654541,GOOG,Alphabet Inc.
2010-02-03,13.470010757446289,GOOG,Alphabet Inc.
2010-02-04,13.120322227478027,GOOG,Alphabet Inc.
2010-02-05,13.232650756835938,GOOG,Alphabet Inc.
2010-02-08,13.286947250366211,GOOG,Alphabet Inc.
2010-02-09,13.360919952392578,GOOG,Alphabet Inc.
2010-02-10,13.311355590820312,GOOG,Alphabet Inc.
2010-02-11,13.35992431640625,GOOG,Alphabet Inc.
2010-02-12,13.278229713439941,GOOG,Alphabet Inc.
2010-02-16,13.481966018676758,GOOG,Alphabet Inc.
2010-02-17,13.40500545501709,GOOG,Alphabet Inc.
2010-02-18,13.529787063598633,GOOG,Alphabet Inc.
2010-02-19,13.468517303466797,GOOG,Alphabet Inc.
2010-02-22,13.519326210021973,GOOG,Alphabet Inc.
2010-02-23,13.326798439025879,GOOG,Alphabet Inc.
2010-02-24,13.237133979797363,GOOG,Alphabet Inc.
2010-02-25,13.111603736877441,GOOG,Alphabet Inc.
2010-02-26,13.120820045471191,GOOG,Alphabet Inc.
2010-03-01,13.2675199508667,GOOG,Alphabet Inc.
2010-03-02,13.47598934173584,GOOG,Alphabet Inc.
2010-03-03,13.582091331481934,GOOG,Alphabet Inc.
2010-03-04,13.812975883483887,GOOG,Alphabet Inc.
2010-03-05,14.052577018737793,GOOG,Alphabet Inc.
2010-03-08,14.009489059448242,GOOG,Alphabet Inc.
2010-03-09,13.952452659606934,GOOG,Alphabet Inc.
2010-03-10,14.35743522644043,GOOG,Alphabet Inc.
2010-03-11,14.474246978759766,GOOG,Alphabet Inc.
2010-03-12,14.434395790100098,GOOG,Alphabet Inc.
2010-03-15,14.026924133300781,GOOG,Alphabet Inc.
2010-03-16,14.077235221862793,GOOG,Alphabet Inc.
2010-03-17,14.086200714111328,GOOG,Alphabet Inc.
2010-03-18,14.107123374938965,GOOG,Alphabet Inc.
2010-03-19,13.947720527648926,GOOG,Alphabet Inc.
2010-03-22,13.885454177856445,GOOG,Alphabet Inc.
2010-03-23,13.673747062683105,GOOG,Alphabet Inc.
2010-03-24,13.881219863891602,GOOG,Alphabet Inc.
2010-03-25,14.019452095031738,GOOG,Alphabet Inc.
2010-03-26,14.014719009399414,GOOG,Alphabet Inc.
2010-03-29,14.008742332458496,GOOG,Alphabet Inc.
2010-03-30,14.11484432220459,GOOG,Alphabet Inc.
2010-03-31,14.125056266784668,GOOG,Alphabet Inc.
2010-04-01,14.166898727416992,GOOG,Alphabet Inc.
2010-04-05,14.221942901611328,GOOG,Alphabet Inc.
2010-04-06,14.152453422546387,GOOG,Alphabet Inc.
2010-04-07,14.035889625549316,GOOG,Alphabet Inc.
2010-04-08,14.134270668029785,GOOG,Alphabet Inc.
